ID,YEAR,MONTH,DAY,HOUR,MINUTE,LATITUDE,LONGITUDE,LOCATION_NAME,COUNTRY,REGION,CAUSE,EVENT_VALIDITY,EQ_MAGNITUDE,EQ_DEPTH,TS_INTENSITY,DAMAGE_TOTAL_DESCRIPTION,HOUSES_TOTAL_DESCRIPTION,DEATHS_TOTAL_DESCRIPTION,URL,COMMENTS,eq,distance_to_city,city_name,city_pop,water_temp_change
1960,1964,7.0,24.0,8.0,12.0,47.159,153.876,S. KURIL ISLANDS,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,6.8,15.0,-2.0,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1960,"1964, July 24, 08:12:40.2 UTC. 47.13 N, 153.79 E, magnitude 7.2, intensity VIII. Main tremor; tsunamis. (reference #223)
<P>1964, July 24, 17:14 [local time]. 45.8 N, 153.35 E, depth 20 km, magnitude 6.4, tsunami magnitude -1, validity 4. Small tsunami reached Hokkaido. Kuril is. Matua 15 cm. (reference #150)
<P>1964, July 24, 08:12:40.2 UTC. 47.13 N, 153.79 E, depth 40 km, magnitude 7.2 ms. Main tremor; tsunamis. (reference #223)",1.0,1083.844074252666,Sapporo,2669680,-2.395
1954,1964,3.0,28.0,3.0,36.0,61.017,-147.648,"PRINCE WILLIAM SOUND, AK",USA,Alaska (including Aleutian Islands),Earthquake and Landslide,Definite Tsunami,9.2,33.0,3.5,Extreme (~$25 million or more),Many (~101 to 1000 houses),Many (~101 to 1000 people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1954,"This magnitude 9.2 Mw earthquake and ensuing tsunami caused 139 deaths and $439 million in property loss. The earthquake caused 15 deaths and the tsunami caused 124 deaths (106 in Alaska, 13 in California and 5 in Oregon).
<P>About 20 landslide tsunamis were generated; the tectonic tsunami devastated many towns along the Gulf of Alaska, left serious damage in British Columbia, Hawaii, and along the west coast of the U.S. (15 killed), and was recorded on tide gages in Cuba and Puerto Rico. Seiches were set up in the Gulf of Mexico and in many lakes in the United States. Waves with amplitudes up to 6 feet were reported from some locales in Texas and Louisiana. <P>In Washington two people were injured and two more suffered heart attacks. Damage to bridges and roads was at least $80,000. One fishing boat was wrecked. Several skiffs and fishing nets were lost ($4,000). At least 15 homes were damaged including three destroyed. Nine trailers were damaged and three cars were lost. One mile of sea bulkhead was lost.
<P>In Oregon, four children were drowned and one woman suffered a fatal heart attack. Bridges, houses, trailers, cars, motel units and sea walls were destroyed at communities along the length of the coast. Damage estimates are uncertain but appear to be between $750,000 and $1,000,000. Most of the communities did not receive any warning.
<P>In California there were thirteen fatalities including the death of a Wilmington longshoreman killed when a cable on a crane broke and dropped a loaded pallet on him. Twelve were injured in Crescent city during the early part of the disaster. Damage in California probably exceeded $17,000,000. Crescent City was the worst affected with about $15,000,000 of the damage occurring there. About $1,000,000 occurred inside San Francisco bay due to currents, a major source of damage on the southern California Coast. Late arriving surges also caused one death and considerable damage.
<P><blockquote><i>Reference #239:</i></blockquote>
<P>The passage of seismic waves are a known cause of seiche at great distances from the source where the waves have had time to disperse. The seismic waves caused water to slosh out of swimming pools as far away as New Jersey and caused some damage to boats in Puget Sound and along the Gulf of Mexico.
<P><blockquote><i>Reference #2102</i></blockquote>The seiche action was recorded on tide gages along the coast from Port Isabel, Tex. to Key West, Fla.; at Guantanamo Bay, Cuba; and at San Juan, Puerto Rico...
<P>The tsunami generated by the Prince William Sound Earthquake of March 28, 1964, was the largest since the 1960 Chilean tsunami.. 122 fatalities and over $104 million in damage resulted...<P>View a calculated <a href=""http://www.ngdc.noaa.gov/seg/hazard/tsu_travel_time.shtml#Alaska1964"">tsunami-travel-time map</a>.<P>Note: Most of the Travel Time numbers in the runups are from Leipold and Wood, 1969. This is Volume II of a definitive three-part publication on The Prince William Sound Earthquake.</P>",1.0,2018.410523265969,Vancouver,2581079,-2.395
5422,1964,5.0,7.0,20.0,13.0,40.4,139.0,NW. HONSHU ISLAND,JAPAN,Japan,Earthquake,Probable Tsunami,6.6,,-3.0,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/5422,"<P><blockquote><i>Reference #414:</i></blockquote> 
<P>1964, May 8, 5:13 (local time). There was an aftershock of the preceding earthquake, which apparently caused a weak tsunami. The tsunami appears on the records of the tide gauges at Esashi and Tsuchizaki.",1.0,286.3559891570448,Sendai,2327417,-2.395
2368,1964,5.0,19.0,0.0,0.0,40.8,-73.1,"LONG ISLAND, NY",USA,"East Coast USA and Canada, St Pierre and Miquelon",Landslide,Probable Tsunami,,0.0,,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/2368,"Lockridge et al. (Reference #541): ""A disturbance that probably originated near the northeastern end of Long Island was widely recorded in the area from Providence, RI to NJ. At Plum Island, NY, the record shows an impulsive beginning with an amplitude of 0.28 m and a period of 4 minutes at 5:25 p.m. (EST). The short period waves continued over 10 cycles with decreasing amplitude. Waves of about 0.11 m maximum amplitude began impulsively also at Montauk, Long Island, NY, and the wave activity continued for 8 or more hours. Smaller amplitudes were observed on 9 other tide gauge records. The source of these waves is not known, but there are no reports of recordings from local seismic stations, and the waves do not appear to be of meteorological origin. A submarine landslide or an explosion are possible causes.""",0.0,77.11877689898066,New York City,8283550,-2.395
1962,1964,12.0,10.0,15.0,11.0,40.4,138.9,NW. HONSHU ISLAND,JAPAN,Japan,Earthquake,Definite Tsunami,6.3,40.0,-3.0,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1962,"<P><blockquote><i>Reference #414:</i></blockquote> 
<P>1964, December 11, 0:11 local time. There was an earthquake in Akita Prefecture. About 1000 m of protective dike on Hachiro Lake (Oga Peninsula) subsided 20 cm, and cracks appeared in two places in the dike. A sea wave 10 cm high was observed at Fuka'ura.",1.0,291.2932339983677,Sendai,2327417,-2.395
1957,1964,5.0,7.0,7.0,58.0,40.3,139.0,NW. HONSHU ISLAND,JAPAN,Japan,Earthquake,Definite Tsunami,6.9,30.0,0.0,Moderate (~$1 to $5 million),,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1957,"<P><blockquote><i>Reference #414:</i></blockquote> 
<P>1964, May 7, 16:58 (local time). A strong earthquake was felt on the north of Honshu Island and the southwest of Hokkaido Island.
<P>The tsunami caused by the earthquake was not strong. Nevertheless it was clearly registered on many tide gauges from Esashi in the north to Naoetsu in the south [the tide gauges on the coast of the USSR did not register the tsunami]. The record of the waves begins with a flood tide on almost all the tide gauges; the first onsets are distinct. The mean value of the period of the maximal waves was 11 minutes and it varied comparatively little from station to station. The oscillations continued for 12 to 20 hours. 
<P>Because of the low intensity of the tsunami, visual observations of the waves were few and unreliable. They amount to the following.
<P>M 7. 
<P><blockquote><i>Reference #150:</i></blockquote> 
<P>1964, May 7, 16:58 (local time). 40.3 N, 139 E. Matsumae (Hokkaido) 55cm, Fukaura 30cm, Sakata 65cm, Sakai 6-8cm, Tonoura l0cm, Akita 21 cm (peak-to-trough). 2 houses destroyed by this earthquake around Hachiro Lake. Hachiroko 90cm, Iwafune 47cm, Esashi 22cm, Tsuchizaki 19cm (peak-to-trough).",1.0,277.3149996328742,Sendai,2327417,-2.395
1963,1965,1.0,24.0,0.0,11.0,-2.4,126.1,SANANA ISLAND,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Definite Tsunami,7.6,6.0,2.0,Moderate (~$1 to $5 million),Very Many (~1001 or more houses),Some (~51 to 100 people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1963,"<P><blockquote><i>Reference #414:</i></blockquote> 
<P>1965, January 24. Validity 3. There was a large destructive earthquake on Sulawesi Island. It was accompanied by a tsunami. According to press accounts, 3,000 homes and 14 bridges were destroyed; 71 people were killed. The tsunami destroyed 90% of the houses of Sanana City and also did damage ot Namlea on Buru Island on Manogole Island. 
<P><blockquote><i>Reference #45:</i></blockquote> 
<P>Sanana, Indonesia, reported 71 persons were killed by the earthquake and accompanying tsunami.",1.0,801.9670903914756,Makassar,1583553,-4.455
1965,1965,2.0,23.0,22.0,11.0,-25.67,-70.63,NORTHERN CHILE,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.0,36.0,,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1965,"February 23, 1965, 22:12 UTC, 15.7 S, 70.5 W, magnitude 6.3 MS. (reference #164)
<P>
February 23, 1965, 22:11 UTC, 25.7 S, 70.5 W, magnitude 7 MS, depth 80 km. (reference #552)",1.0,557.0828273333061,San Miguel de Tucuman,985656,-4.455
1964,1965,2.0,4.0,5.0,1.0,51.29,178.55,"RAT ISLANDS, ALEUTIAN ISLANDS, AK",USA,Alaska (including Aleutian Islands),Earthquake,Definite Tsunami,8.7,36.0,2.5,Limited (<$1 million),,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1964,"<P><blockquote><i>Reference #239:</i></blockquote> 
<P>1965, Feb 4, 0501 GMT. A magnitude 8.2 earthquake in the Rat Islands, Aleutian Islands, caused a tsunami that was observed in Hawaii, Japan, and elsewhere in the Pacific. The
earthquake caused minor damage at Adak, Attu, Amchitka, and Shemya Islands. At Sweeper Cove, Adak, the sea level fell 1.2 feet in fifteen minutes. At Massacre Bay, Attu, the water rose 5.2 feet relative to its normal position at that
time. It was recorded with an amplitude of 0.8 feet at Dutch Harbor, Unalaska, and 3 inches at Sitka.
<P>On the southern coast of Shemya Island the rise of water was estimated at 35 feet. A warehouse was flooded and part of the coastal road was washed out. Slight damage from the tsunami was reported from Amchitka. A field party noted a
line of flotsam that appeared to have been moved about 6.5 feet above the normal high tide line.
<P>The aftershock pattern outlined a block 400 miles by 125 miles (Jordan et al., 1965). Hwang et al. (1972) showed that the maximum energy followed the orthogonal to this block and passed between Hawaii and Japan. Validity 4.
<P><blockquote><i>Reference #542:</i></blockquote> 
<P>1965, Feb 4, 05:01 and 08:40 UTC. Rat Islands, Aleutian islands, Alaska. On Adak Island, cracks occurred in prefabricated wood buildings; on Shemway Island, cracks were observed in an asphalt runway. Hairline cracks also formed in the runways at the U.S. Coast Guard Loran Station on Attu Island. This earthquake generated a tsunami reported to be about 10.7 m high on Shemya Island. Loss caused by flooding on Amchitka Island was estimated at about $10,000. An aftershock at 07 40 UTC was assigned MMI VI.
<P><blockquote><i>Reference #414:</i></blockquote> 
<P>1965, Feb 3, 19:01 [local time]. There was a strong (6 degrees) earthquake on the Rat Islands and the Andreanof Islands... A tsunami arose. On Adak Island, the sea level fell 0.3 m (1 foot) in 15 minutes. On Attu Island, the level rose and fell 2 1/2 m (8 feet) relative to the normal position. On the southern coast of Shemya Island, the height of rise of the water was estimated at 9-10 m (30-35 feet). Here the warehouse was flooded and a part of the coastal road was washed out. Slight damage from the tsunami was reported from Amchitka Island. In Japan on the Sanriku coast, slight damage was done to the oyster beds, although the rise of water was only a few tens of a centimetre. The tsunami was registered by many tide gauges in the Pacific.  On the coasts of the USSR and Japan, the tsunami began with a tidal wave, the mean period of which was 25.5 minutes, The maximal amplitude of oscillations was observed in Japan 4-6 hours after the arrival of the first wave, regardless of the epicentral distance of the station.",1.0,2928.143500199509,Sapporo,2669680,-2.763
3042,1965,3.0,9.0,17.0,57.0,39.4,24.0,AEGEAN SEA,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,6.3,18.0,,Severe (~>$5 to $24 million),Many (~101 to 1000 houses),Few (~1 to 50 people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/3042,"On March 9, 1965 at 17:57:53.7 UTC, a magnitude 6.3 earthquake in the Aegean Sea caused a tsunami which was noted on Pelagos and Skiathos Islands. (reference #45)",1.0,158.96315806719494,Athens,3153355,-2.763
1967,1965,3.0,30.0,2.0,27.0,50.32,177.93,"RAT ISLANDS, ALEUTIAN ISLANDS, AK",USA,Alaska (including Aleutian Islands),Earthquake,Definite Tsunami,7.6,20.0,-1.0,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1967,"This magnitude 7.4 earthquake was felt on Adak and Amchitka Islands; a resultant small tsunami was recorded on the tide gage at Massacre Bay, Attu. (reference #542)
<P>1965, March 29, 16:27. An earthquake, felt on Amchitka and Adak Islands, caused a tsunami registered by tide gauges on Attu Island and at Hilo (Reference #414).",1.0,2879.332200882754,Sapporo,2669680,-2.763
1975,1965,8.0,23.0,19.0,46.0,16.3,-95.8,MEXICO,MEXICO,West Coast of North and Central America,Earthquake,Definite Tsunami,7.8,,,Limited (<$1 million),,Few (~1 to 50 people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1975,"August 23,1965. This earthquake of magnitude Ms=7.3 and
epicenter located at 16.3 N, 95.8 W caused moderate
damage in Oaxaca City and Pochutla. Six people
died. The tsunami was registered in Acapulco with a
maximum height of 0.40 m. (reference #369)",1.0,129.70966914637978,Oaxaca de Juarez,704559,-2.763
1972,1965,7.0,6.0,3.0,18.0,38.267,22.3,NORTH CORINTH GULF,GREECE,Mediterranean Sea,Earthquake and Landslide,Very Doubtful Tsunami,6.3,18.0,2.0,Moderate (~$1 to $5 million),,Few (~1 to 50 people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1972,"July 6, 1965, 03:18 UTC, 38.4 22.3 E, depth 18 km, magnitude 6.3, intensity VIII, tsunami intensity 2. Ionian Sea, Gulf of Corinth. An earthquake occurred. A strip of dry land 100 m long and 10 m wide was observed to slip off into the water along the southern shore of the Gulf of Corinth. As a result of the landslide, a person who had been sleeping on the shore drowned. Fissures 30 m long and 5 m wide were formed on the bottom of the Guy of Galaxidi. Weak oscillations of the water level were observed in the Bay of Itea. (reference #2130)
<P>July 6, 1965, 03:18:42 UTC, 38 deg 16 min N, 22 deg 18 min E, magnitude 6.3, tsunami intensity 3. (reference #2427)",1.0,129.1170058247009,Athens,3153355,-2.763
5470,1965,2.0,19.0,,,-41.755,-72.396,SOUTHERN CHILE,CHILE,West Coast of South America,Volcano and Landslide,Event that only caused a seiche or disturbance in an inland river,,,,Severe (~>$5 to $24 million),Many (~101 to 1000 houses),Few (~1 to 50 people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/5470,"1965, February 19. The edifice of Yate volcano, a dissected stratocone in the Andean Southern Volcanic Zone, has experienced multiple summit collapses throughout postglacial time restricted to sectors NE and SW of the summit. The largest such historic event occurred on 19th February 1965 when ~6.1x10<sup>6</sup> m<sup>3</sup> of rock and ice detached from 2,000-m elevation to the SW of the summit and transformed into a debris flow. In the upper part of the flow path, velocities are estimated to have reached 40 m s.1. After travelling 7,500 m and descending 1,490 m, the flow entered an intermontane lake, Lago Cabrera. A wavemaker
of estimated volume 9<u>+</u>3x10<sup>6</sup> m<sup>3</sup> generated a tsunami with an estimated amplitude of 25 m and a run-up of ~60 m at the west end of the lake where a settlement disappeared with the loss of 27 lives. The landslide followed 15 days of unusually heavy summer rain, which may have caused failure by increasing pore water pressure in rock mechanically weathered through glacial action. (reference #10345)
<P>Yate volcano is a late-Pleistocene, glacially dissected basaltic-andesite stratovolcano with Holocene parasitic vents... No historical eruptions are known from Volcán Yate, although the fresh morphology of its satellitic cones suggests an historical age. A non-eruptive volcanic landslide in 1965 produced a debris flow that reached Lake Cabrera, causing a tsunami that destroyed a settlement and caused 27 fatalities. (reference #2432)",0.0,550.0018386413136,Concepcion,880722,-4.455
5695,1965,10.0,24.0,,,12.3,-61.63,KICK 'EM JENNY VOLCANO,GRENADA,Caribbean Sea,Volcano,Very Doubtful Tsunami,,,,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/5695,"1965 October 30: The eruption of Kick em Jenny submarine volcano generated the minor tsunami. (reference# 1917)
<P>Minor tsunami are believed to have been generated by the eruptions of 24 July 1939 (Devas and MacAdam- Sherwin, 1939) and 25 October 1965 (Shepherd and Robson, 1967). (reference #10162 and #10176)
",0.0,329.4621655054305,Maturin,694716,-2.763
1977,1965,9.0,28.0,,,14.002,120.993,"TAAL, LUZON ISLAND",PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Volcano,Definite Tsunami,,,,Limited (<$1 million),Few (~1 to 50 houses),Many (~101 to 1000 people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1977,"1965, Sept 28. Estimates range 150 to 355 including those drowned and several murdered. Witham lists range of 190-355. Many of the fatalities occurred when tsunami capsized boats filled with fleeing residents. Newspaper and other reports suggesting 3,000-5,000 deaths are very unreliable. (reference #9675)
<P>A moderately violent phreatomagmatic explosive eruption of Taal Volcano, in the Philippines, occurred from 28 to 30 September 1965. The main phreatic explosions, which were preceded by ejection of basaltic spatter, opened a new crater 1.5 kilometers long and 0.3 kilometer wide on the southwest side of Volcano Island in Lake Taal. The eruption covered an area of about 60 square kilometers with a blanket of ash more than 25 centimeters thick and killed approximately 190 persons. ..
<P>The explosions within the crater area produced shock waves that generated water waves, which probably reached
maximum height between Volcano Island and the west shore of Lake Taal. These waves capsized some of the boats filled with the fleeing residents of the island and accounted for many of the fatalities. The maximum height of the waves is not known, because evidence of wave height during the early, most violent phase of the eruption is now covered by layers of ash. However, on the west shore of Lake Taal, directly west of the mouth of the explosion crater, there is clear evidence that waves reached 4.7 meters above lake
level and swept inshore as much as 80 meters. The debris left by these waves is on top of the air-fall ash, hence the waves must have occurred very late in the eruption. Undoubtedly much larger waves swept that coast earlier. 
<P>A streamflow gage 1.5 kilometers downstream from the outlet of Lake Taal shows an increase of flow from an average of 20,500 liters per second for several days before the eruption to a maximum of 28,400 liters per second on 28 September, followed by decreases to 23,800 liters per second
on 29 September, and 22,800 liters per second on 30 September. Such an increase is probably due to excessive
wave action and to seiches produced by the explosion shock waves, as well as to displacement of water by the ash fall and to the inordinately heavy rain that accompanied the eruption.
<P>(above from reference #5094)
<P>Many of the 190355 fatalities occurred when tsunami waves capsized boats containing residents fleeing from Taal Island to the western shore of the lake (near Agoncillo). The waves inundated areas up to 4.7 m above the level of the lake (Moore et al. 1966). (reference #12533)",0.0,36.47030956247603,Dasmarinas,747208,-2.763
1974,1965,8.0,13.0,12.0,40.0,-15.9,166.8,VANUATU ISLANDS,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Questionable Tsunami,7.3,33.0,1.0,Limited (<$1 million),Few (~1 to 50 houses),,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1974,"<P><blockquote><i>Reference #414:</i></blockquote> 
<P>1965, August 13. Validity 2. One of the small aftershocks of the earthquake of August 12 generated a tsunami 2 m high, as a result of which several small vessels were lost and coastal structures were destroyed on the western shore of Espiritu Santo Island. The instrumental records of this and the other aftershocks have intensive T phases. 
<P><blockquote><i>Reference #3459:</i></blockquote> 
<P>1965, August 13. There was no tsunami associated with two of the main shocks, although their epicentres were at sea; but the small aftershock of August 13 produced a tsunami 2 metres high.",1.0,1913.672232399548,Brisbane,2406182,-4.455
1970,1965,6.0,11.0,3.0,34.0,44.7,148.7,S. KURIL ISLANDS,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.2,,-3.0,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1970,"June 11, 1965, 12:33 local time, 43.7 N, 148.8 E, magnitude 6.4. Hiroo 10 cm, Hanasaki-Kushiro 8 cm, Matua 2 cm, Burevestnik 9 cm (peak-to-trough). (reference #150)",1.0,617.5088931333806,Sapporo,2669680,-2.763
1973,1965,8.0,11.0,22.0,31.0,-15.8,167.2,VANUATU ISLANDS,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.0,13.0,2.5,Moderate (~$1 to $5 million),,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1973,"<P><blockquote><i>Reference #414:</i></blockquote> 
<P>1965, August 12. Validity 4. There was a series of shocks on the New Hebrides Islands. In all, 62 earthquakes were registered between August 12 and 13. The shocks continued until September.
<P>During the main earthquake (August 12) the north-western part of Malekula island rose 1/2-1 m. A tsunami arose with a height of 7 m in some bays. Since the seismic station at Port Vila had broadcast a tsunami warning on the radio after the start of the shocks and before the main earthquake, the necessary safety precautions had been taken and there were no victims. The height of the tsunami was 2.5 m on Tongoa Island (Vanuatu) and 1.2 m at Port Vila.
<P>[11.VIII; 22h31m46s; 15.8 S., 167.2 E.; 13 km; M=7.2]
<P><blockquote><i>Reference #79</i></blockquote> 
<P>1965, August 11, 22:32 UTC. 15.8 S, 167.2 E. Tsunami  source New Hebrides. Tsunami observation: Tongoa 2.5 m, Vila 1 m.
<P><blockquote><i>Reference #236:</i></blockquote> 
<P>1965, August 11, 22:32 UTC. A magnitude 7.0 earthquake in the New Hebrides generated a tsunami that was recorded at the tide gage at Tongoa Island. New Hebrides. with an
amplitude of 2.5 m. (Iida et al., 1967) Pararas-Carayannis and Dong (1980) report that it was recorded at Pago Page as a minor trace. 
<P><blockquote><i>Reference #3459:</i></blockquote> 
<P>There was no tsunami associated with two of the main shocks, although their epicentres were at sea; but the small aftershock of August 13 produced a tsunami 2 metres high.",1.0,1952.155927969408,Brisbane,2406182,-4.455
1971,1965,7.0,2.0,20.0,58.0,53.03,-167.55,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",USA,Alaska (including Aleutian Islands),Earthquake,Definite Tsunami,6.5,40.0,-2.0,Limited (<$1 million),,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1971,"In one house on Umnak Island, dishes were broken and books were thrown over all the room as a result of this magnitude 6.5 earthquake.  Also, a small resultant tsunami was recorded on Unalaska Island and at Cold Bay.
<P>1965, July 2, 10:59 local time. An earthquake was felt with a force of up to 6 degrees on Umnak Island, where in one home the crockery was broken and books were scattered all over the room. It was felt by almost everybody in Cold Bay; a light crackling sound was heard; buildings swayed; lamps rocked 10-15 cm on a west-east axis; the duration of the oscillation was 40 seconds. A tsunami with an amplitude of 15 cm was recorded on Unalaska Island (Reference #414).",1.0,3086.82841211832,Vancouver,2581079,-2.763
1966,1965,3.0,22.0,22.0,56.0,-31.81,-71.26,CENTRAL CHILE,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,6.0,58.0,,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1966,"March 22, 1965, 22:56 UTC, 31.9 S, 71.5 W, magnitude 6.0 MS, depth 58 km. (reference #164)
<P>
March 22, 1965, 22:56 UTC, 31.9 S, 71.5 W, magnitude 6.0 MS, depth 58 km. (reference #552)",1.0,141.16114344029563,Valparaiso,983751,-4.455
1979,1965,10.0,3.0,16.0,14.0,-42.9,-75.13,SOUTHERN CHILE,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,6.5,28.0,,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1979,"October 3, 1965, 16:15 UTC, 42.9 S, 75.2 W, magnitude 6.1 MS, depth 31 km. (reference #164)
<P>
October 3, 1965, 16:15 UTC, 42.9 S, 75.2 W, magnitude 6.5 MS, depth 31 km. (reference #552)",1.0,697.3092775558407,Concepcion,880722,-4.455
1982,1966,10.0,17.0,21.0,41.0,-10.748,-78.638,CENTRAL PERU,PERU,West Coast of South America,Earthquake,Definite Tsunami,8.1,38.0,1.5,Extreme (~$25 million or more),Many (~101 to 1000 houses),Many (~101 to 1000 people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1982,"October 17, 1966, 16:42 local time. There was an earthquake in Peru, causing destruction in the coastal zone approximately between 10 and 13 deg S. A strong seaquake was felt on the ships at sea. The earthquake was accompanied by a series of aftershocks, which arose rapidly one after another. A tsunami occurred. (reference #415)
<P>October 18, 1966, 06:42 [local time Japan], 10.7 S, 78.7 W, depth 38 km, magnitude 7.8 MS, tsunami intensity -1, validity 4. (reference #150)",1.0,227.32421341409693,Lima,10719188,-6.315
1981,1966,6.0,15.0,0.0,59.0,-10.343,160.88299999999998,SOLOMON ISLANDS,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,7.1,31.0,1.0,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1981,"<P><blockquote><i>Reference #414:</i></blockquote> 
<P>1966, June 15, 12:00 [local time]. Validity 3. There was an earthquake which was felt on the islands of Guadalcanal, Malaita and San Cristobal. A weak tsunami was observed at different places on the islands of Guadalcanal and San Cristobal. A tsunami was observed at 01h35m with a maximal height of 20 cm at Point Cruz, Honiara. [15.VI; Oh5946s; 10.3 S., 160.8 E.; 31 km; M=7.6.]
<P><blockquote><i>Reference #2666:</i></blockquote> 
<P>1966, June 15, 00:59:46 UTC. 10.4 S, 160.8 E, depth 31 km, magnitude 7.2.",1.0,2067.036560846434,Brisbane,2406182,-6.315
2425,1966,12.0,31.0,18.0,23.0,-11.893,166.445,SANTA CRUZ ISLANDS,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.8,83.0,1.0,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/2425,"<P><blockquote><i>Reference #414:</i></blockquote> 
<P>1966, December 31, 18:23:04 UTC [1967, January 1, 5:23 local time]. Validity 4. There was an 8-9 degree earthquake on Vanikoro Island. There were avalanches and a tsunami within the lagoon. The height of waves was 2 m. The tsunami was registered at Suva and Pago Pago with heights of 9 and 6 cm, and also perhaps on Easter Island, at Kahului and Unalaska. [31.XII; 18h23m04s; 11.8 S., 166.5 E.; 33 km; Ms 8.1] 
<P><blockquote><i>Reference #79:</i></blockquote> 
<P>1966, December 31, 18:23 UTC. 11.8 S, 166.5 E. Tsunami source: New Hebrides. Tsunami observation: Vanikoro, New Hebrides 2m; Suva, Fiji < 0.1 m. 
<P><blockquote><i>Reference #236:</i></blockquote> 
<P>1966, December 31, 18:23. A magnitude 7.5 earthquake in the Santa Cruz Islands caused a small tsunami of 2 m in the New Hebrides and 0.03 m at Pago Pago. (Pararas Carayannis
and Dong. 1980; lida et al., 1967) 
<P><blockquote><i>Reference #45:</i></blockquote> 
<P>1966, December 31. Santa Cruz Islands. Two major earthquakes, less than four hours apart(1823 and 2215 UTC), struck an uninhabited area on Dec 31, but no damage was reported due to their location. However two slight tsunamis were generated. The first wave reached an amplitude 6 2/3 feet at Vanikoro, Santa Cruz Islands; the second registered 5 feet at Vanikoro.",1.0,2221.7148482951775,Brisbane,2406182,-6.315
4242,1966,5.0,8.0,,,59.6,10.633,EASTERN NORWAY,NORWAY,Northeast Atlantic Ocean,Landslide,Definite Tsunami,,,3.0,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/4242,"2 flood waves, Oslofjorden",0.0,35.41206365530149,Oslo,1041377,-2.807
5478,1966,,,,,-10.38,165.8,"TINAKULA, SANTA CRUZ ISLANDS",SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Volcano,Probable Tsunami,,,,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/5478,"1966. Tinakula. Ocean entry by landslide from small failure near summit. Small local waves only. (reference #10446, p. 536)",0.0,2317.5303579205547,Brisbane,2406182,-6.315
2302,1966,7.0,12.0,18.0,53.0,44.75,37.0,BLACK SEA,RUSSIA,Black Sea and Caspian Sea,Earthquake,Definite Tsunami,5.5,,1.0,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/2302,"Recorded mareograms in stations Gelendzik, Tuapse, Opasnoe, Feodosia, Yalta, Batumi, Mariupol and Kerch. Tsunami amplitude in Gelendzik 20-25 cm. Tsunami intensity I. (reference #4139)",1.0,159.31139199512612,Krasnodar,957214,-2.807
